RNCP17281/RNCP37296/RNCP39409;12000
RNCP17282;8327
RNCP17285;6599
RNCP17286/RNCP37985;8407
RNCP17327;10415
RNCP1739;7256
RNCP17469;10017
RNCP17484/RNCP37914;9874
RNCP17505;9478
RNCP17506/RNCP39027;8919
RNCP17538/RNCP39472;8907
RNCP1761/RNCP39232;7195
RNCP17682;10115
RNCP17696;9591
RNCP17700;8850
RNCP17791/RNCP36803;5850
RNCP17798/RNCP38276;6949
RNCP17802/RNCP37756;7857
RNCP17821/RNCP39599;7952
RNCP17827/RNCP36906;7735
RNCP17835/RNCP38188;10024
RNCP17842/RNCP38187;8266
RNCP17849;5780
RNCP17891;7134
RNCP1794/RNCP36245;6626
RNCP1796/RNCP38723;7817
RNCP18019/RNCP37794;7560
RNCP18023/RNCP36529;9034
RNCP18029;7702
RNCP18088/RNCP38125;8896
RNCP18102/RNCP38237;8727
RNCP1811/RNCP36244;7170
RNCP18116/RNCP39168;9000
RNCP18121/RNCP38525;8397
RNCP1814/RNCP36258;6626
RNCP1817/RNCP38869;8613
RNCP18197/RNCP36209;8055
RNCP18210;6480
RNCP18247/RNCP36766/RNCP37350/RNCP39540;8668
RNCP18250;11410
RNCP18253/RNCP36753/RNCP37363/RNCP39058;8648
RNCP1828/RNCP37292;9116
RNCP18281/RNCP36673/RNCP37362/RNCP39055;8972
RNCP18291;8570
RNCP183/RNCP37876;6602
RNCP1831;6353
RNCP18315/RNCP37377/RNCP38578;8100
RNCP18317/RNCP37238;6750
RNCP18318;8789
RNCP1832;5871
RNCP18328/RNCP37494;9450
RNCP1833;5871
RNCP18362;8250
RNCP18363;9074
RNCP18390/RNCP39028;11580
RNCP184/RNCP37398;9279
RNCP18476;8779
RNCP1852/RNCP38551;8530
RNCP18620/RNCP38226;4627
RNCP1863/RNCP38721;7252
RNCP18645/RNCP36653/RNCP38246;8509
RNCP18704/RNCP37537;6015
RNCP18715;9000
RNCP18717;9000
RNCP18725;8407
RNCP18726/RNCP37840;9686
RNCP1876/RNCP36243/RNCP38713;8120
RNCP18772;8750
RNCP18782;10800
RNCP1883/RNCP38558/RNCP39795;8230
RNCP18830;8150
